,site,average,lat_x,long_x,range,lat_y,long_y,Altitude
0,11274500.0,0.983425439,37.31549247,-121.1252081,1.0,37.31549247,-121.1252081,216.01
1,7191222.0,0.966732452,36.35535924,-94.7763388,1.0,36.35535924,-94.7763388,781.7
2,7185095.0,0.963936794,36.90006955,-94.8682878,1.0,36.90006955,-94.8682878,762.23
3,2108000.0,0.945815594,34.82888889,-77.8322222,1.0,34.82888889,-77.8322222,17.28
4,12025000.0,0.945420224,46.6201042,-122.945126,1.0,46.6201042,-122.945126,0.0
6,14236200.0,0.936999358,46.5953843,-122.4595564,1.0,46.5953843,-122.4595564,600.0
7,5577500.0,0.93275113,39.8153284,-89.698713,1.0,39.8153284,-89.698713,524.65
8,7185090.0,0.928245097,36.94367956,-94.8532862,1.0,36.94367956,-94.8532862,775.16
9,1510000.0,0.927041396,42.5411111,-75.8997222,1.0,42.5411111,-75.8997222,1031.11
10,3298000.0,0.926404161,38.18840166,-85.460235,1.0,38.18840166,-85.460235,542.6
11,2077200.0,0.925504137,36.39777778,-79.1966667,1.0,36.39777778,-79.1966667,400.08
12,14301000.0,0.916528082,45.7039986,-123.755405,1.0,45.7039986,-123.755405,32.6
13,1555000.0,0.914702859,40.86674917,-77.0483088,1.0,40.86674917,-77.0483088,507.38
14,5454300.0,0.914038898,41.67668186,-91.5987812,1.0,41.67668186,-91.5987812,647.48
15,7366200.0,0.913426058,32.9293064,-92.6329305,1.0,32.9293064,-92.6329305,91.48
16,1048220.0,0.910852382,44.9475,-69.6569444,1.0,44.9475,-69.6569444,500.0
17,5595730.0,0.909591514,38.25388889,-89.0405556,1.0,38.25388889,-89.0405556,412.0
18,7189100.0,0.905400677,36.67090486,-94.6041119,1.0,36.67090486,-94.6041119,786.0
19,14138900.0,0.902013291,45.4942856,-122.0359167,1.0,45.4942856,-122.0359167,1060.0
20,1031500.0,0.899386219,45.175,-69.3147222,1.0,45.175,-69.3147222,358.47
21,5473450.0,0.898226301,41.0069727,-91.5515497,1.0,41.0069727,-91.5515497,643.0
22,3456991.0,0.896549286,35.52194444,-82.8480556,1.0,35.52194444,-82.8480556,2581.66
23,5459500.0,0.89552755,43.16496176,-93.1927034,1.0,43.16496176,-93.1927034,1069.59
24,1580700.0,0.894921188,39.52263889,-76.14227778,1.0,39.52263889,-76.14227778,21.2
25,7061290.0,0.893984058,37.4936111,-90.8383333,1.0,37.4936111,-90.8383333,725.0
26,1553700.0,0.891612725,41.0617522,-76.68023479,1.0,41.0617522,-76.68023479,503.7
27,6601000.0,0.890981932,42.32166667,-96.4877778,1.0,42.32166667,-96.4877778,1080.45
29,14138850.0,0.889751799,45.4981743,-122.0123049,1.0,45.4981743,-122.0123049,1080.0
31,5451210.0,0.888116282,42.3150833,-93.1520556,1.0,42.3150833,-93.1520556,943.97
32,3368000.0,0.887733254,39.07033129,-85.4860766,1.0,39.07033129,-85.4860766,716.64
33,8104900.0,0.886870569,30.6257499,-97.6911204,1.0,30.6257499,-97.6911204,687.72
34,2298608.0,0.886166534,27.3436562,-82.1567556,1.0,27.3436562,-82.1567556,24.45
35,7360200.0,0.884875258,34.31166667,-93.8997222,1.0,34.31166667,-93.8997222,727.0
36,3441000.0,0.884679449,35.27305556,-82.7058333,1.0,35.27305556,-82.7058333,2115.13
37,5454000.0,0.881550519,41.7000165,-91.4876684,1.0,41.7000165,-91.4876684,673.72
38,7196000.0,0.881116599,36.18647245,-94.7068913,1.0,36.18647245,-94.7068913,854.59
39,1432900.0,0.88048127,41.66805556,-74.7805556,1.0,41.66805556,-74.7805556,1068.4
40,2484500.0,0.880456591,32.7061111,-89.6719444,1.0,32.7061111,-89.6719444,306.15
41,5454220.0,0.879778197,41.7183455,-91.7401737,1.0,41.7183455,-91.7401737,696.5
42,7329852.0,0.879224615,34.49536695,-96.9886281,1.0,34.49536695,-96.9886281,897.25
43,12043300.0,0.87845681,48.24146416,-124.3838328,1.0,48.24146416,-124.3838328,50.0
44,5455100.0,0.878159306,41.60640518,-91.61572419,1.0,41.60640518,-91.61572419,637.49
45,2400100.0,0.877921201,34.06509836,-85.6141287,1.0,34.06509836,-85.6141287,539.07
46,1539000.0,0.876908387,41.07814118,-76.4313333,1.0,41.07814118,-76.4313333,543.84
48,2082950.0,0.875385642,36.1833333,-77.8761111,1.0,36.1833333,-77.8761111,115.44
49,12080010.0,0.874688344,47.01176308,-122.9031949,1.0,47.01176308,-122.9031949,62.01
50,3383000.0,0.874139355,37.22393575,-87.7805659,1.0,37.22393575,-87.7805659,362.8
51,1031450.0,0.873975692,45.1844444,-69.4522222,1.0,45.1844444,-69.4522222,423.0
52,11467200.0,0.87266044,38.5065797,-123.0697239,1.0,38.5065797,-123.0697239,40.0
53,14301500.0,0.870822023,45.47593996,-123.7251209,1.0,45.47593996,-123.7251209,42.12
54,12079000.0,0.870508397,46.85204488,-122.6687354,1.0,46.85204488,-122.6687354,348.77
55,2298554.0,0.867192988,27.3661553,-82.1492555,1.0,27.3661553,-82.1492555,26.14
56,3292470.0,0.866221705,38.36173418,-85.5749608,1.0,38.36173418,-85.5749608,439.7
57,8066200.0,0.865193611,30.716306,-94.9588237,1.0,30.716306,-94.9588237,100.12
58,14216500.0,0.86503834,46.0756688,-121.9986982,1.0,46.0756688,-121.9986982,1032.9
59,1552500.0,0.86422078,41.35702418,-76.5346708,1.0,41.35702418,-76.5346708,1025.01
60,3539800.0,0.863949923,36.0814937,-84.6703113,1.0,36.0814937,-84.6703113,891.91
61,14138870.0,0.860507151,45.48011889,-122.0256385,1.0,45.48011889,-122.0256385,1480.0
62,5592050.0,0.860025776,39.40587344,-88.8964628,1.0,39.40587344,-88.8964628,550.0
63,3539600.0,0.859158671,35.99766528,-84.8224946,1.0,35.99766528,-84.8224946,1444.69
64,5467000.0,0.858139523,41.12892328,-90.9193094,1.0,41.12892328,-90.9193094,524.07
65,1494850.0,0.856665458,39.8223306,-75.8968883,1.0,39.8223306,-75.8968883,410.0
66,5451500.0,0.854932444,42.06582096,-92.9076997,1.0,42.06582096,-92.9076997,853.1
67,3456500.0,0.852931716,35.46166667,-82.8697222,1.0,35.46166667,-82.8697222,2674.34
68,5508805.0,0.852901168,39.5204722,-91.34275,1.0,39.5204722,-91.34275,485.0
69,1674000.0,0.852539624,38.061801,-77.3858142,1.0,38.061801,-77.3858142,84.33
70,3302680.0,0.852006787,38.60533536,-86.0944222,1.0,38.60533536,-86.0944222,712.54
71,8023080.0,0.851187918,31.9627225,-93.9411609,1.0,31.9627225,-93.9411609,172.4
72,11119745.0,0.850922915,34.44055266,-119.7118027,1.0,34.44055266,-119.7118027,400.0
73,4296500.0,0.846707512,44.94032449,-72.1892684,1.0,44.94032449,-72.1892684,682.36
74,1480015.0,0.84607913,39.71575,-75.6399444,1.0,39.71575,-75.6399444,-1.12
75,2296260.0,0.845505891,27.45948376,-81.6784128,1.0,27.45948376,-81.6784128,35.55
76,8065200.0,0.844857945,31.56989618,-95.8882938,1.0,31.56989618,-95.8882938,240.11
77,1188000.0,0.84415235,41.786209,-72.9648261,1.0,41.786209,-72.9648261,714.0
78,12020000.0,0.843423753,46.6173236,-123.277644,1.0,46.6173236,-123.277644,0.0
79,12210900.0,0.842204712,48.8326141,-122.3390502,1.0,48.8326141,-122.3390502,200.0
80,8015500.0,0.841719553,30.50255556,-92.9154167,1.0,30.50255556,-92.9154167,11.95
81,6909950.0,0.840924166,38.9172222,-92.7041667,1.0,38.9172222,-92.7041667,600.0
82,1495000.0,0.840703947,39.6675833,-75.8255833,1.0,39.6675833,-75.8255833,83.39
83,1626850.0,0.839710534,38.08874648,-78.8769683,1.0,38.08874648,-78.8769683,1247.04
84,2053800.0,0.838405156,37.1401323,-80.2664328,1.0,37.1401323,-80.2664328,1361.87
85,3291780.0,0.837669433,38.8781136,-85.2571788,1.0,38.8781136,-85.2571788,588.4
86,14194150.0,0.83532109,45.2056719,-123.1826047,1.0,45.2056719,-123.1826047,50.0
87,1626000.0,0.835156067,38.0576362,-78.90807949,1.0,38.0576362,-78.90807949,1296.2
88,12458000.0,0.834551715,47.5409539,-120.7200872,1.0,47.5409539,-120.7200872,1450.0
89,7172000.0,0.834376986,37.00393886,-96.3166638,1.0,37.00393886,-96.3166638,763.32
90,2438000.0,0.834209606,34.10621294,-87.9894765,1.0,34.10621294,-87.9894765,360.5
91,2143000.0,0.831330803,35.68444444,-81.4033333,1.0,35.68444444,-81.4033333,890.11
92,1168500.0,0.831019714,42.626,-72.8541944,1.0,42.626,-72.8541944,516.84
