site_no, average,dec_lat_va,dec_long_va,NSE_state
1021000,-3.813094974,45.1369444,-67.3180556,4
1018500,-11.86783898,45.5683333,-67.4283333,4
1021470,-3.805285352,44.8008333,-67.725,4
1021480,0.363588958,44.9369444,-67.7361111,4
1019000,-1.128618498,45.1725,-67.76888889,4
1018035,0.059971189,46.1811111,-67.80388889,4
1018009,-8.508372375,46.11527778,-67.84027778,4
1018000,0.307267091,46.105,-67.8666667,4
1017960,0.01305011,46.105,-67.88138889,4
1022500,0.138749307,44.60805556,-67.93527778,4
1017290,0.09153571,46.8886111,-67.945,4
1017550,-2.181105468,46.62805556,-67.9530556,4
1017060,-3.271787444,46.7836111,-67.9891667,4
1022294,-0.131843669,44.85909167,-68.10396389,4
1017000,-0.276979262,46.7772222,-68.1572222,4
1030350,-0.306437777,45.7086111,-68.1580556,4
1022840,-0.094145949,44.33277778,-68.2066667,4
1030500,0.080106481,45.5011111,-68.3058333,4
1015800,0.255009045,46.52305556,-68.3716667,4
1013500,-1.378536642,47.2375,-68.58277778,4
1014000,0.01924014,47.2833333,-68.58527778,4
1029500,0.055908779,45.73027778,-68.5894444,4
1029200,0.322899027,46.14305556,-68.6336111,4
1034500,-1.427733854,45.2361111,-68.65138889,4
1037000,0.177763795,44.8611111,-68.8316667,4
1034000,0.244774265,45.26055556,-68.8686111,4
1037380,-0.466090432,44.32916667,-69.0608333,4
1011000,-0.338016151,47.0697222,-69.0794444,4
1010500,-0.048395928,47.11305556,-69.0880556,4
1031510,0.705283442,45.15027778,-69.23638889,2
1031500,0.624650681,45.175,-69.3147222,3
1031450,0.516067431,45.1844444,-69.4522222,3
1031300,0.346360057,45.2672222,-69.58388889,4
1038000,-1.971975316,44.22277778,-69.59388889,4
1048220,0.371504169,44.9475,-69.6569444,4
1010000,0.18489319,46.70055556,-69.7155556,4
1010070,-0.091045535,46.89388889,-69.7516667,4
1049500,-0.025401854,44.22916667,-69.7780556,4
1046000,0.617760543,45.0644444,-69.8805556,3
1046500,-5.470596094,45.0519444,-69.8855556,4
1047150,-1.037587654,44.77888889,-69.8869444,4
1048000,-0.082677665,44.70805556,-69.9375,4
1047000,0.402138647,44.86916667,-69.955,4
1042500,-2.384277384,45.3397222,-69.9619444,4
1027200,0.58224383,45.93527778,-69.9936111,3
1105880,-6.962910954,41.70011074,-70.1069625,4
1043500,-0.670443754,45.22905,-70.20112778,4
1059000,-1.404103378,44.0722222,-70.2080556,4
1055500,0.315211466,44.26944444,-70.2297222,4
1044550,0.287912247,45.3136111,-70.2416667,4
