site_no, average,dec_lat_va,dec_long_va,NSE_state
1021000,-1.573782087,45.1369444,-67.3180556,4
1018500,-11.70325978,45.5683333,-67.4283333,4
1021470,-1.337828624,44.8008333,-67.725,4
1021480,0.519644042,44.9369444,-67.7361111,3
1019000,-7.364635698,45.1725,-67.76888889,4
1018035,0.393179511,46.1811111,-67.80388889,4
1018009,-2.101160678,46.11527778,-67.84027778,4
1018000,0.161629673,46.105,-67.8666667,4
1017960,-0.029725472,46.105,-67.88138889,4
1022500,0.032918668,44.60805556,-67.93527778,4
1017290,-0.351361029,46.8886111,-67.945,4
1017550,-2.953584306,46.62805556,-67.9530556,4
1017060,-0.771258889,46.7836111,-67.9891667,4
1022294,-0.071426272,44.85909167,-68.10396389,4
1017000,0.19296644,46.7772222,-68.1572222,4
1030350,-0.586947824,45.7086111,-68.1580556,4
1022840,-0.476255,44.33277778,-68.2066667,4
1030500,0.241862602,45.5011111,-68.3058333,4
1015800,0.332972517,46.52305556,-68.3716667,4
1013500,0.48898669,47.2375,-68.58277778,4
1014000,-0.041393725,47.2833333,-68.58527778,4
1029500,-0.16623099,45.73027778,-68.5894444,4
1029200,0.135182223,46.14305556,-68.6336111,4
1034500,-0.349357726,45.2361111,-68.65138889,4
1037000,0.162502562,44.8611111,-68.8316667,4
1034000,0.362772668,45.26055556,-68.8686111,4
1037380,0.250604116,44.32916667,-69.0608333,4
1011000,0.296691234,47.0697222,-69.0794444,4
1010500,0.090676637,47.11305556,-69.0880556,4
1031510,0.199219096,45.15027778,-69.23638889,4
1031500,0.676249295,45.175,-69.3147222,2
1031450,0.648685162,45.1844444,-69.4522222,3
1031300,0.381055363,45.2672222,-69.58388889,4
1038000,0.306132787,44.22277778,-69.59388889,4
1048220,0.377209755,44.9475,-69.6569444,4
1010000,0.179841436,46.70055556,-69.7155556,4
1010070,-0.116697641,46.89388889,-69.7516667,4
1049500,-0.356327481,44.22916667,-69.7780556,4
1046000,0.542591284,45.0644444,-69.8805556,3
1046500,-0.444090865,45.0519444,-69.8855556,4
1047150,-0.488813017,44.77888889,-69.8869444,4
1048000,0.239200699,44.70805556,-69.9375,4
1047000,0.622596887,44.86916667,-69.955,3
1042500,-0.712527973,45.3397222,-69.9619444,4
1027200,0.401587324,45.93527778,-69.9936111,4
1105880,-0.762668282,41.70011074,-70.1069625,4
1043500,0.015583689,45.22905,-70.20112778,4
1059000,-0.206879856,44.0722222,-70.2080556,4
1055500,0.626322356,44.26944444,-70.2297222,3
1044550,0.38780603,45.3136111,-70.2416667,4
1064118,-3.394343005,43.68694444,-70.3472222,4
1047200,0.237912475,44.85777778,-70.48527778,4
11058837,-47.00609392,41.59233175,-70.50780579,4
1057000,0.424408801,44.30388889,-70.5397222,4
1054500,-0.924306953,44.5519444,-70.5441667,4
1067950,0.600804104,43.4322222,-70.5533333,3
1069700,-2.028137251,43.37916667,-70.5833333,4
1055000,0.370023539,44.64277778,-70.58888889,4
1105876,-7.003546791,41.94177039,-70.6225338,4
1063310,-24.00862575,43.85555556,-70.6397222,4
1069500,0.033171791,43.4183333,-70.6583333,4
1054300,0.454719829,44.5933333,-70.7330556,4
1105870,-1.353964635,41.9909362,-70.7336491,4
1068910,0.224871512,43.4183333,-70.7380556,4
1066000,0.410260114,43.80805556,-70.7816667,4
1105730,-3.990673725,42.1006571,-70.8225415,4
1105917,-0.766201388,41.66260446,-70.8383696,4
1073785,0.481597515,43.0358333,-70.8475,4
1105638,-3.701289279,42.2348226,-70.8719892,4
1102000,-3.297795228,42.6598157,-70.8936622,4
1105608,-123.8901602,42.21305556,-70.92638889,4
1105600,-4.702170748,42.1903779,-70.9447679,4
1101000,0.231678144,42.75286948,-70.9456096,4
1073500,0.430966986,43.10258558,-70.952559,4
1108000,-0.863509214,41.9339903,-70.9564307,4
1072870,0.030064161,43.23480487,-70.9564507,4
1073000,0.450941092,43.1486955,-70.9650603,4
1072800,-1.170609496,43.26841527,-70.9736739,4
1105583,-12.83323196,42.22093308,-70.9781026,4
1054200,0.50866922,44.39055556,-70.9797222,3
1105933,-1.026355806,41.58538185,-70.9903171,4
1102345,-38.46922224,42.4695404,-71.0069954,4
1101500,-19.9639043,42.56953869,-71.0269974,4
1073587,-0.763566337,42.9845316,-71.038392,4
1052500,0.446319664,44.8775,-71.0575,4
11055566,-26.35410119,42.2709321,-71.06838369,4
1108410,-3.296327995,41.8998232,-71.0894897,4
1064500,0.493785771,43.9908333,-71.0905556,4
1109060,-2.099217311,41.8662122,-71.12282369,4
1053500,-9.006504393,44.7825,-71.1286111,4
1103025,-15.13424531,42.40704077,-71.1339422,4
1109070,0.136219286,41.840379,-71.142824,4
1105500,-2.688165043,42.15454356,-71.1458842,4
1105554,-5.048105452,42.2092655,-71.1458851,4
1100627,-6.321748976,42.6714806,-71.1492239,4
1104000,-0.727431688,42.2550985,-71.1642196,4
10735562,-46.08269847,42.94897557,-71.16478279,4
